Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
13,CA-2017-114412,15/04/2017,20/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
14,CA-2017-161389,05/12/2017,10/12/2017,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
15,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Purifier,68.81,5,0.8,-123.858
16,US-2016-118983,22/11/2016,26/11/2016,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Ranges Binder,2.544,3,0.8,-3.816
17,CA-2015-105893,11/11/2015,18/11/2015,Second Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving,665.88,6,0.4,-13.3176
18,CA-2015-167164,13/05/2015,15/05/2015,First Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Fiskars 8 Scissor,55.5,2,0,9.99
19,CA-2015-143336,27/08/2015,01/09/2015,Second Class,EB-13870,Emily Burns,Consumer,United States,San Francisco,California,West,OFF-AR-10003056,Office Supplies,Art,Fiskars 8 Scissor,55.5,5,0,9.99
20,CA-2015-143336,27/08/2015,01/09/2015,Second Class,EB-13870,Emily Burns,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.0110
21,CA-2016-137330,16/12/2016,21/12/2016,Standard Class,MB-18085,Maris Bell,Consumer,United States,Henderson,Kentucky,South,OFF-EN-10001509,Office Supplies,Envelopes,Square Envelopes,22.72,4,0.2,7.384
22,CA-2016-137330,16/12/2016,21/12/2016,Standard Class,MB-18085,Maris Bell,Consumer,United States,Henderson,Kentucky,South,TEC-AC-10003025,Technology,Accessories,Plantronics CS510 Wireless Headset,91.96,2,0.2,15.6332
23,CA-2016-137330,16/12/2016,21/12/2016,Standard Class,MB-18085,Maris Bell,Consumer,United States,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe Stacking Chair,620.1,7,0.15,186.03
24,CA-2015-157310,16/11/2015,20/11/2015,Standard Class,LP-16810,Lena Hernandez,Consumer,United States,New York City,New York,East,TEC-CO-10004722,Technology,Copiers,Canon PC1080F Personal Copier,1299.99,1,0,649.995
25,CA-2015-157310,16/11/2015,20/11/2015,Standard Class,LP-16810,Lena Hernandez,Consumer,United States,New York City,New York,East,OFF-PA-10001569,Office Supplies,Paper,Avery Hi-Liter EverBold Pen Style Highlighters,4.56,3,0.2,1.596
26,CA-2016-150630,28/10/2016,31/10/2016,First Class,GH-14440,Grant Hwang,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10003988,Technology,Phones,Apple iPhone 14,911.424,4,0.2,68.3568
27,CA-2016-150630,28/10/2016,31/10/2016,First Class,GH-14440,Grant Hwang,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001532,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binder,13.26,3,0.4,-4.0698
28,CA-2014-169166,08/09/2014,13/09/2014,Standard Class,MG-17650,Mick Gentry,Home Office,United States,Burlington,North Carolina,South,OFF-AP-10001492,Office Supplies,Appliances,Hoover Replacement Belt for Hand Vacuum,4.98,2,0,1.4940
29,CA-2017-119823,04/01/2017,08/01/2017,Standard Class,NF-18385,Nora Fowler,Consumer,United States,Los Angeles,California,West,TEC-PH-10003988,Technology,Phones,Apple iPhone 14,911.424,4,0.2,68.3568
30,CA-2017-119823,04/01/2017,08/01/2017,Standard Class,NF-18385,Nora Fowler,Consumer,United States,Los Angeles,California,West,OFF-BI-10001532,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binder,13.26,3,0.4,-4.0698
31,CA-2016-144135,23/09/2016,28/09/2016,Standard Class,SB-20185,Sanjit Bern,Consumer,United States,New York City,New York,East,OFF-ST-10001844,Office Supplies,Storage,Sauder Forest Hills 5-Shelf Bookcase,523.488,4,0.2,94.2278
32,CA-2016-144135,23/09/2016,28/09/2016,Standard Class,SB-20185,Sanjit Bern,Consumer,United States,New York City,New York,East,FUR-CH-10004063,Furniture,Chairs,Global Deluxe Stacking Chair,265.76,4,0.2,39.864
33,CA-2014-111682,16/10/2014,22/10/2014,Standard Class,TB-21175,Tracy Blumstein,Consumer,United States,New York City,New York,East,TEC-AC-10000171,Technology,Accessories,Kensington Contour Pro Notebook Carrying Case,76.73,5,0.3,0
34,CA-2014-111682,16/10/2014,22/10/2014,Standard Class,TB-21175,Tracy Blumstein,Consumer,United States,New York City,New York,East,OFF-BI-10001460,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,906.99,5,0,242.3724
35,CA-2016-113499,17/06/2016,23/06/2016,Standard Class,RB-19360,Rick Bensley,Consumer,United States,Columbus,Ohio,East,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
36,CA-2016-113499,17/06/2016,23/06/2016,Standard Class,RB-19360,Rick Bensley,Consumer,United States,Columbus,Ohio,East,FUR-CH-10003091,Furniture,Chairs,SAFCO Commercial Wire Shelving,443.76,3,0,177.504
37,CA-2015-169194,09/10/2015,14/10/2015,Standard Class,MV-17920,Mike Vittorini,Consumer,United States,Los Angeles,California,West,OFF-FA-10003706,Office Supplies,Fasteners,OIC Push Pins,2.808,3,0.2,0.9828
38,CA-2015-169194,09/10/2015,14/10/2015,Standard Class,MV-17920,Mike Vittorini,Consumer,United States,Los Angeles,California,West,TEC-PH-10004977,Technology,Phones,Samsung Galaxy S22,226.368,3,0.2,22.6368
39,CA-2014-134067,28/07/2014,01/08/2014,Second Class,DW-13480,Darrenワarfield,Consumer,United States,Seattle,Washington,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 20,6.48,2,0.2,2.268
40,CA-2014-134067,28/07/2014,01/08/2014,Second Class,DW-13480,Darren Warfield,Consumer,United States,Seattle,Washington,West,FUR-FU-10002718,Furniture,Furnishings,Howard Miller 11 Diameter Brentwood Wall Clock,190.92,5,0.2,28.638
41,CA-2017-100811,15/11/2017,19/11/2017,Standard Class,CL-12835,Clay Ludtke,Consumer,United States,Portland,Oregon,West,TEC-AC-10000618,Technology,Accessories,Logitech G602 Wireless Gaming Mouse,149.97,3,0,52.4895
42,CA-2017-100811,15/11/2017,19/11/2017,Standard Class,CL-12835,Clay Ludtke,Consumer,United States,Portland,Oregon,West,OFF-BI-10001078,Office Supplies,Binders,Wilson Jones Hanging View Binder,11.784,4,0.2,2.9460
43,CA-2016-128406,29/09/2016,04/10/2016,Standard Class,SC-20380,Seth Calvin,Consumer,United States,New York City,New York,East,TEC-PH-10003988,Technology,Phones,Apple iPhone 14,455.712,2,0.2,34.1784
44,CA-2016-128406,29/09/2016,04/10/2016,Standard Class,SC-20380,Seth Calvin,Consumer,United States,New York City,New York,East,OFF-BI-10000545,Office Supplies,Binders,Avery Durable Slant Ring Binders,17.46,3,0,6.6588
45,CA-2015-118255,17/07/2015,22/07/2015,Standard Class,RH-19420,Rick Hansen,Consumer,United States,San Francisco,California,West,TEC-AC-10001722,Technology,Accessories,Plantronics Voyager Pro HD Headset,68.376,3,0.2,10.2564
46,CA-2015-118255,17/07/2015,22/07/2015,Standard Class,RH-19420,Rick Hansen,Consumer,United States,San Francisco,California,West,OFF-PA-10001432,Office Supplies,Paper,Avery Hi-Liter EverBold Pen Style Highlighters,4.56,3,0.2,1.596
47,CA-2016-162341,27/04/2016,01/05/2016,Second Class,TS-21370,Tom Stivers,Consumer,United States,Los Angeles,California,West,OFF-ST-10001648,Office Supplies,Storage,Storex Durable Binder,19.536,3,0.2,4.884
48,CA-2016-162341,27/04/2016,01/05/2016,Second Class,TS-21370,Tom Stivers,Consumer,United States,Los Angeles,California,West,TEC-AC-10003025,Technology,Accessories,Plantronics CS510 Wireless Headset,91.96,2,0.2,15.6332
49,CA-2014-139892,09/09/2014,13/09/2014,Standard Class,TC-21820,Tracy Chapman,Consumer,United States,Houston,Texas,Central,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
50,CA-2014-139892,09/09/2014,13/09/2014,Standard Class,TC-21820,Tracy Chapman,Consumer,United States,Houston,Texas,Central,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.582
